α [°],b [mm],H/2b [ ],Ls [mm],2π/n [rad],γAH' [N],P0 [N],f
60,31.25,1.8,94.45780400000001,1.0471975511965976,5.472242411103835,5.311445411054998,0.7607607607607607
30,37.5,1.8,70.04809499999999,2.0943951023931957,8.387927413103299,1.7796294468049991,0.6356356356356356
30,37.5,1.8,70.04809499999999,1.0471975511965976,8.387927413103299,6.040192282529999,0.7477477477477478
60,37.5,1.8,113.34936,2.0943951023931957,9.456034886387428,5.9117026122350005,0.6216216216216216
60,37.5,1.8,113.34936,1.0471975511965976,9.456034886387428,13.863728378619001,0.8198198198198198
60,37.5,1.8,113.34936,1.0471975511965976,9.456034886387428,14.259988627163999,0.8188188188188188
30,43.75,1.8,81.72277700000001,2.0943951023931957,13.319718068029776,6.709871935858,0.6306306306306306
30,43.75,1.8,81.72277700000001,1.0471975511965976,13.319718068029776,16.836507923966494,0.7607607607607607
60,43.75,1.8,132.24093,2.0943951023931957,15.015833176068922,12.8956911076245,0.5715715715715716
60,43.75,1.8,132.24093,1.0471975511965976,15.015833176068925,4.8082985615,0.5445445445445446
30,50.0,1.8,93.39746,2.0943951023931957,19.88249460883745,13.237990656810501,0.5935935935935935
30,50.0,1.8,93.39746,1.0471975511965976,19.88249460883745,5.760664511594999,0.6666666666666666
60,50.0,1.8,151.13249,2.0943951023931957,22.41430491588131,15.073036600167,0.3633633633633634
60,50.0,1.8,151.13249,1.0471975511965976,22.41430491588131,7.275982185605001,0.5125125125125125
